bug_id,summary,component_name,owner,reporter,type_id,status_id,priority_id,created,life_days
144941955,Intended negatives. SR Detail not matching summary (tab3),HCM Dashboards,orazs,orazs,BUG,FIXED,P1,2019-11-21,4
137551708,HCM Data Mart Business continuity process,HCM Data Mart,,zeljebbari,PROCESS,NEW,P2,2019-07-15,134
146629848,"ClarinetJobFailed: Pipeline ""PezCloudSQLtoBQ - headcount_slot_total"" failed to run.",HCM Production Bugs,sunilsaxena,mdb.clarinet,BUG,FIXED,P1,2019-12-20,19
137544446,Data Mart v1.2 - Staffing requests: create Product/business requirements document,HCM Data Mart,mstockwell,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-07-15,36
137773293,Data Mart - Implications of changing date fields from timestamp to DATE,HCM Data Mart,,zeljebbari,BUG,NEW,P2,2019-07-17,132
136467453,HCM DQ Jobs failed on 0701,HCM Data Mart,orazs,aghorai,BUG,FIXED,P2,2019-07-01,8
142334634,[HCM Report] Add CC Rollups to Headcount & Staffing Progress,HCM Dashboards,zeljebbari,potalora,BUG,ASSIGNED,P3,2019-10-08,1
148462418,[Data Mart] Headcount & Staffing Test Dashboard re-point *_PerfTest views,HCM Data Mart,orazs,nidhishk,FEATURE_REQUEST,FIXED,P3,2020-01-28,1
139188123,[Data Mart] Correct/Set dependencies for HCM dev jobs in HCM reporting DEV and Corp Data Store DEV,HCM Data Mart,hongyil,hongyil,INTERNAL_CLEANUP,FIXED,P2,2019-08-09,5
138619246,Data Mart v1.2 - Create functional design document for staffing request,HCM Data Mart,sameerpatel,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-07-30,21
139184575,[Data Mart] DQ - Manager and CC Null Check - add thresholds using min and max threshold columns from config,HCM Data Mart,orazs,mraizada,FEATURE_REQUEST,VERIFIED,P2,2019-08-09,19
143528944,"Pipeline ""SRT Source Data Extraction"" (UAT) failed to run",HCM Data Mart,ganeshprabhu,orazs,BUG,FIXED,P2,2019-10-29,1
139040995,[HCM Dashboard] Incorrect headcount numbers in Planning dashboard,HCM Dashboards,cviswanathan,cviswanathan,BUG,VERIFIER_ASSIGNED,P2,2019-08-07,0
137965265,"[Data Mart] Cleanup Projects, datasets, tables",HCM Data Mart,,mstockwell,INTERNAL_CLEANUP,NEW,P2,2019-07-19,0
134762572,[Data Mart] Review Pez Activity Proto,HCM Data Mart,sameerpatel,sameerpatel,FEATURE_REQUEST,FIXED,P2,2019-06-07,3
135292988,[Data Mart] Pipeline not fully triggered on some days - short term fix,HCM Data Mart,pmallireddy,zeljebbari,BUG,VERIFIED,P2,2019-06-15,3
147134060,HC dash - location tab based on the HCM data mart,HCM Data Mart,hkondreddy,zeljebbari,FEATURE_REQUEST,ASSIGNED,P2,2020-01-03,24
133450395,[HCM Datamart] Feature Request : Populate the SOR extract date for all processed and consumption layer tables,HCM Data Mart,,pmallireddy,FEATURE_REQUEST,NEW,P3,2019-05-23,7
143240914,[Data Mart] Manager in wrong level of hierarchy in TeamAllocationHistory,HCM Data Mart,pmallireddy,alvinying,BUG,FIXED,P3,2019-10-23,51
113698561,[HCM Report] Add hyperlinks to Pez for Cost Center,HCM Dashboards,alvinying,alvinying,FEATURE_REQUEST,VERIFIED,P3,2018-08-31,7
133241622,Test - bug,HCM Data Mart,,zeljebbari,BUG,WILL_NOT_FIX,P4,2019-05-21,0
115747544,[HCM Report] Performance over 20 sec for 'By Manager' section,HCM Dashboards,,apisarchyk,BUG,WILL_NOT_FIX,P4,2018-09-14,248
116019216,[HCM Report] 'Unable to authorize' error,HCM Dashboards,chavisinghal,apisarchyk,BUG,VERIFIED,P1,2018-09-18,1
131172635,Issue summary - Add Cur Views for HC allocation & Team Allocation to Consumption layer,HCM Data Mart,pmallireddy,sameerpatel,FEATURE_REQUEST,FIXED,P2,2019-04-23,38
144723623,[Data Mart] Update Historical Snapshot Process for Intraday CDC Changes,HCM Data Mart,sameerpatel,aghorai,FEATURE_REQUEST,ASSIGNED,P2,2019-11-18,45
144490871,datauniverse_hcm_reporting.StaffingRequestSummarySnapshot.today access issue,HCM Data Mart,orazs,orazs,BUG,FIXED,P2,2019-11-14,0
138433826,Update Google HC Tool Views to account for Col renaming of TG metric - non-Emp Team Allocation,HCM Data Mart,sameerpatel,sameerpatel,BUG,FIXED,P2,2019-07-26,0
135754265,Set up IX cell for OK PCR,HCM Data Mart,aghorai,zeljebbari,BUG,VERIFIED,P2,2019-06-21,6
135214695,[Team allocations] TVC showing up as Job Family Group and 0 person when only Employee Metric is selected,HCM Dashboards,alvinying,alvinying,BUG,VERIFIED,P3,2019-06-13,158
140149780,Implement the logic to derive fact sor extract date for Team Allocation report,HCM Data Mart,pmallireddy,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-08-28,105
120020006,[HCM Report] Negative Headcount Audit pipeline - Setup Rapid project for pipeline,HCM Dashboards,sofeeya,sofeeya,FEATURE_REQUEST,WILL_NOT_FIX,P2,2018-11-26,58
140261777,Standardize ctrl columns across source landing table in CDS,HCM Data Mart,hongyil,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-08-29,105
132171087,Engage power users (CoS/HCM/Prod Ops/Peeps Leads),HCM Data Mart,zeljebbari,zeljebbari,PROCESS,VERIFIED,P1,2019-05-07,51
130442001,[Report Name] Version Table Changes need to be propagated to UAT env,HCM Data Mart,chavisinghal,chavisinghal,FEATURE_REQUEST,VERIFIER_ASSIGNED,P2,2019-04-12,39
141938786,Wrong datatype in Hcm_Reporting_Processed.staffing_request_history table,HCM Data Mart,aghorai,orazs,BUG,VERIFIER_ASSIGNED,P2,2019-10-01,10
147758308,[HCM Report Usage] Adding Powers users,HCM Dashboards,hkondreddy,hkondreddy,FEATURE_REQUEST,VERIFIED,P2,2020-01-15,1
147907354,CC Admin dash automation,HCM Data Mart,zeljebbari,zeljebbari,FEATURE_REQUEST,ASSIGNED,P2,2020-01-17,10
144451008,[Data Mart] Issue summary - Columns to be added in the HC plx view,HCM Data Mart,alvinying,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-11-13,0
148196755,"ClarinetJobFailed: Pipeline ""Run PLX DQ Validation"" failed to run.",HCM Production Bugs,aghorai,mdb.clarinet,BUG,ASSIGNED,P2,2020-01-23,1
148151196,[HCM Report] Grants Report - performance improvements,HCM Dashboards,mstockwell,mstockwell,BUG,FIXED,P2,2020-01-22,5
138902893,[Data Mart] PROD HCM job failed,HCM Data Mart,sunilsaxena,sunilsaxena,PROCESS,FIXED,P1,2019-08-04,0
136343482,[Data Mart] Production TG versioned job failed 29th June,HCM Data Mart,sunilsaxena,sunilsaxena,BUG,FIXED,P1,2019-06-29,0
134062695,Google Headcount Planning - Phase 1: Pez Security Data,HCM Data Mart,varshinibala,varshinibala,PROCESS,WILL_NOT_FIX,P2,2019-05-30,203
114103008,[Data Mart] Create Plx workflow to connect scripts and schedule for daily run,HCM Data Mart,alvinying,alvinying,FEATURE_REQUEST,VERIFIED,P2,2018-09-05,15
145748495,Negative Headcount and Staffing Requests - Math signs are incorrect,HCM Dashboards,orazs,orazs,BUG,VERIFIED,P2,2019-12-05,1
131426058,[Data Mart v1 dev issue] Very small tbh_hc in Data Mart (but not in Pez UI),HCM Data Mart,chavisinghal,alvinying,BUG,WILL_NOT_FIX,P2,2019-04-26,5
147033659,"ClarinetJobFailed: Pipeline ""HCM Landing DQ"" failed to run.",HCM Production Bugs,pmallireddy,mdb.clarinet,BUG,FIXED,P1,2019-12-31,0
132820017,Cleanup UAT Project and run as clean slate,HCM Data Mart,aghorai,sunilsaxena,FEATURE_REQUEST,FIXED,P1,2019-05-15,6
148284552,[HCM Usage] F1 engine tracking for GoogleSQL,HCM Dashboards,hkondreddy,hkondreddy,FEATURE_REQUEST,ACCEPTED,P2,2020-01-24,3
138679568,Need daily dated back up of the headcount_slot_total table in corp data store,HCM Data Mart,nvalluru,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-07-30,17
139799942,Staffing Requests dev -  dimensions,HCM Data Mart,aghorai,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-08-21,69
120019865,"[HCM Report] Negative Headcount Audit pipeline - Create pipelines for dev, staging, prod",HCM Dashboards,sofeeya,sofeeya,FEATURE_REQUEST,FIXED,P2,2018-11-26,58
147003849,[Retrofit dashboard] UAT and Production Release,HCM Data Mart,hongyil,cacanindin,FEATURE_REQUEST,ACCEPTED,P2,2019-12-30,30
135267275,Authorize headcount_slot_total view,HCM Data Mart,aghorai,aghorai,INTERNAL_CLEANUP,FIXED,P2,2019-06-14,0
139056508,Add Team Tech Leads array to Consumption Layer Tables/Views - Tactical solution,HCM Data Mart,aghorai,sameerpatel,FEATURE_REQUEST,WILL_NOT_FIX,P1,2019-08-07,15
128911279,[Report Name] Issue summary,HCM Dashboards,anupamai,anupamai,FEATURE_REQUEST,VERIFIER_ASSIGNED,P1,2019-03-19,63
136259747,HCM Usage dashboard - Job family and traffic source have unknown/null values,HCM Dashboards,hkondreddy,zeljebbari,BUG,VERIFIED,P3,2019-06-28,213
134950355,[Data Mart] New Table - Pez Activity Service API,HCM Data Mart,,sameerpatel,FEATURE_REQUEST,NEW,P3,2019-06-10,4
147139703,[Data Mart] Grants technical bugs,HCM Data Mart,pmallireddy,nidhishk,BUG,FIXED,P4,2020-01-03,7
115572794,[HCM Report] Replace 'Manager' filter with 'Supervisory Chain' one,HCM Dashboards,epahal,apisarchyk,FEATURE_REQUEST,FIXED,P2,2018-09-12,2
122449338,[HCM Report] Create draft version of Negative Deepdive report,HCM Dashboards,rohjain,alvinying,FEATURE_REQUEST,FIXED,P1,2019-01-07,60
133848143,[Data Mart] Need to flip Exit HC and Negative HC to positive values.,HCM Data Mart,pmallireddy,sameerpatel,BUG,VERIFIED,P2,2019-05-29,2
146924450,Dimension HCM Version Tables pipeline failure (UAT environment),HCM Data Mart,orazs,orazs,BUG,FIXED,P2,2019-12-27,6
141128685,[Data Mart] ctrl_end_datetime set to '9998-12-31' in some tables,HCM Data Mart,hongyil,mstockwell,BUG,ACCEPTED,P2,2019-09-16,92
146663138,[Data Mart] NULL in ctrl columns - Hcm_Reporting_Processed.headcount_allocation_history,HCM Data Mart,pmallireddy,nidhishk,INTERNAL_CLEANUP,FIXED,P2,2019-12-20,21
133228117,Ability to bulk export dated HC allocation snapshot tables from BQ to Plx,HCM Data Mart,aghorai,sunilsaxena,FEATURE_REQUEST,FIXED,P2,2019-05-21,13
129060508,[HCM Report] Productionize Moma verification cycle report,HCM Dashboards,epahal,epahal,FEATURE_REQUEST,FIXED,P3,2019-03-21,4
137572476,[Data Mart] Granting access to planing du dev team for hcm consumption view in UAT and PROD,HCM Data Mart,lmallavarapu,lmallavarapu,FEATURE_REQUEST,FIXED,P2,2019-07-15,10
135991123,[Data Mart] Prod consumption job failed 25th June,HCM Data Mart,sunilsaxena,sunilsaxena,BUG,VERIFIED,P1,2019-06-25,0
142250093,[Data Mart] Update plx views to include pipe delimiter in security filter,HCM Data Mart,mstockwell,mstockwell,BUG,VERIFIED,P2,2019-10-07,4
148269887,[Loans + grants dash] - check that security access is enforced correctly and open up dash to Googlers,HCM Data Mart,mstockwell,zeljebbari,FEATURE_REQUEST,ACCEPTED,P3,2020-01-24,5
133250437,[DataMart] Pre-prod layer: need to come up with a recommendation and definition,HCM Data Mart,alvinying,zeljebbari,PROCESS,WILL_NOT_FIX,P3,2019-05-21,24
146441419,[Grants and location locking] PROD,HCM Data Mart,pmallireddy,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-12-17,24
146637287,"ClarinetJobFailed: Pipeline ""PezCloudSQLtoBQ - headcount_slot_total"" failed to run.",HCM Production Bugs,hongyil,mdb.clarinet,BUG,FIXED,P1,2019-12-20,11
148150691,New process for pushing changes via CL on dashboards,HCM Data Mart,chavisinghal,zeljebbari,PROCESS,ASSIGNED,P3,2020-01-22,5
139800284,Loans PRD,HCM Data Mart,mstockwell,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-08-21,44
130347481,[Verification Report] Fix failure due to ex-oogler,HCM Dashboards,epahal,epahal,BUG,FIXED,P1,2019-04-11,0
140172330,Postmortem Doc for 28th August Failure,HCM Production Bugs,orazs,sunilsaxena,PROCESS,ACCEPTED,P2,2019-08-28,0
141542042,Loans - testing and SIT plan,HCM Data Mart,orazs,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-09-24,83
130827324,Build PLX tables for HCM Consumption Layer,HCM Data Mart,aghorai,aghorai,PROCESS,FIXED,P2,2019-04-18,33
114131534,[Data Mart] Migrate/sunset peepsdash data mart,HCM Data Mart,,apisarchyk,FEATURE_REQUEST,NEW,P3,2018-09-05,258
126780216,[Report Name] Calculation and detail of HC without Team/Product incorrect,HCM Dashboards,alvinying,alvinying,INTERNAL_CLEANUP,VERIFIED,P2,2019-03-01,90
134379702,Invalid manager_id values in headcount_allocation_history table,HCM Data Mart,pmallireddy,orazs,BUG,FIXED,P3,2019-06-03,193
117147165,[Data Mart] Task - Grant VIEW access to appropriate user groups before launch,HCM Data Mart,alvinying,alvinying,PROCESS,VERIFIED,P0,2018-10-02,97
132170988,Migrate dashboards to Data Mart,HCM Data Mart,,zeljebbari,FEATURE_REQUEST,NEW,P3,2019-05-07,17
120021435,[HCM Report] Negative Headcount Audit pipeline - Create Technical design doc,HCM Dashboards,sofeeya,sofeeya,FEATURE_REQUEST,FIXED,P2,2018-11-26,58
130419108,Update Data Separator for Control Key column used across HCM tables,HCM Data Mart,pmallireddy,pmallireddy,INTERNAL_CLEANUP,ASSIGNED,P3,2019-04-12,228
114227617,[HCM Report] Pez - SRT: LEFT OUTER or FULL OUTER JOIN,HCM Dashboards,alvinying,alvinying,PROCESS,VERIFIER_ASSIGNED,P3,2018-09-06,257
134049164,"[HCM Report] Headcount and staffing dashboard - ""Staffing Trend"" chart isn't updating when we change the supervisory org filter",HCM Dashboards,hkondreddy,zeljebbari,BUG,VERIFIED,P2,2019-05-30,8
144723492,[Data Mart] Update Loans and Intended Negative Columns in Historical headcount_allocation_snap Table,HCM Data Mart,pmallireddy,aghorai,INTERNAL_CLEANUP,FIXED,P2,2019-11-18,25
147431886,[Data Mart] Good documentation of usage for automated utility,HCM Data Mart,,cacanindin,INTERNAL_CLEANUP,NEW,P3,2020-01-09,0
132217959,[HCM Report] Add CC-Roll-Ups to HC & Staffing Request report,HCM Dashboards,alvinying,chichester,FEATURE_REQUEST,ASSIGNED,P3,2019-05-08,154
128848144,[MOMA Verification SIT] 2019-02 cycle data has l0-l14 missing as of 3/18/2019 test run,HCM Dashboards,epahal,mraizada,INTERNAL_CLEANUP,VERIFIED,P2,2019-03-18,0
145132175,[Master] [Retrofit dashboard] to new data mart,HCM Dashboards,hongyil,hongyil,FEATURE_REQUEST,ACCEPTED,P2,2019-11-25,63
136169799,HC and staffing report - change column names,HCM Dashboards,hkondreddy,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-06-27,1
136650888,[Data Mart] Increase data refresh frequency from Moma teams,HCM Data Mart,,alvinying,FEATURE_REQUEST,NEW,P3,2019-07-03,0
114136055,[HCM Report] Profile & add to report the SR Target Level / Other Level Range,HCM Dashboards,alvinying,alvinying,FEATURE_REQUEST,VERIFIED,P3,2018-09-06,12
133228198,[HCM Data Mart DQ Check],HCM Data Mart,sunilsaxena,sunilsaxena,FEATURE_REQUEST,ASSIGNED,P2,2019-05-21,0
138658692,Verify row count of PLX tables with BQ snapshots,HCM Data Mart,aghorai,aghorai,INTERNAL_CLEANUP,VERIFIER_ASSIGNED,P2,2019-07-30,0
139803039,Loans dashboards implementation,HCM Dashboards,mstockwell,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-08-21,120
125888764,[HCM Report] Quota Exceeded in BQ Project - hcm-reporting-dev,HCM Dashboards,sameerpatel,sameerpatel,PROCESS,VERIFIED,P2,2019-02-22,88
137081884,Internal Apps hcm-reporting-dremel,HCM Data Mart,nvalluru,vincentdao,PROCESS,VERIFIED,P1,2019-07-09,153
148519800,[Data Mart] Usability Improvement - Create “Current” tables/views,HCM Data Mart,nidhishk,nidhishk,FEATURE_REQUEST,ASSIGNED,P4,2020-01-29,0
129689419,Issue Summary: Cloud Tracker Ask - Use Pez Snapshot to derive Starts/Transfers/Exits,HCM Dashboards,zeljebbari,alvinying,FEATURE_REQUEST,ASSIGNED,P3,2019-04-01,84
138446123,"Bug - Need Column rename in Consumption/Plx Tables/Views - field ""personb_preferred_last_name"" --> ""person_preferred_last_name""",HCM Data Mart,aghorai,sameerpatel,BUG,VERIFIED,P2,2019-07-26,36
141122106,HCM DEV sync - Dependency Check and Duration Change,HCM Data Mart,ganeshprabhu,ganeshprabhu,BUG,WILL_NOT_FIX,P2,2019-09-16,66
142413219,[Data Mart] Temporary PROD Access to HCM project datasets for Octopus SIT until Nov 15th,HCM Data Mart,sunilsaxena,sameerpatel,PROCESS,FIXED,P2,2019-10-09,1
134061662,Google Headcount Planning - Phase 1: Sample Data,HCM Data Mart,varshinibala,varshinibala,PROCESS,VERIFIED,P2,2019-05-30,29
148407821,[Data Mart] Preferred Name is null for Active Person Records,HCM Data Mart,zeljebbari,sameerpatel,BUG,ASSIGNED,P2,2020-01-27,1
134139786,[HCM Report] Dremel Routing Error in Teams pipeline,HCM Dashboards,cviswanathan,alvinying,BUG,FIXED,P2,2019-05-31,63
131711953,Verification for UAT jobs,HCM Data Mart,sunilsaxena,chavisinghal,PROCESS,FIXED,P2,2019-04-30,21
137766839,Data Mart - HR API issue --> Manager Hier Fix,HCM Data Mart,sameerpatel,zeljebbari,BUG,VERIFIED,P2,2019-07-17,7
133227270,Handle source data that's already versioned when creating CDC tables: generalize the Pez approach,HCM Data Mart,sunilsaxena,sunilsaxena,FEATURE_REQUEST,FIXED,P2,2019-05-21,205
134153248,[Data Mart - Prod bug] Wrong FTE count in hcm-reporting.Hcm_Reporting_Processed.team_allocation_history table,HCM Data Mart,pmallireddy,zeljebbari,BUG,VERIFIED,P2,2019-05-31,13
146923344,"ClarinetJobFailed: Pipeline ""Dimension HCM Version Tables"" failed to run.",HCM Production Bugs,,mdb.clarinet,BUG,WILL_NOT_FIX,P1,2019-12-27,6
135682476,On call schedule - formal process,HCM Data Mart,zeljebbari,zeljebbari,PROCESS,FIXED,P3,2019-06-20,25
134691838,Requirements for 8 year data retention policy after the employee leaves the company by type of data,HCM Data Mart,zeljebbari,zeljebbari,PROCESS,WILL_NOT_FIX,P3,2019-06-06,29
146462800,Extract Grants and Location Locking related source tables from Pez.,HCM Data Mart,pmallireddy,pmallireddy,FEATURE_REQUEST,FIXED,P2,2019-12-18,23
133868417,Create playbook for external UAT testing,HCM Data Mart,,zeljebbari,PROCESS,NEW,P3,2019-05-29,0
139297341,[Data Mart] Remove Columns from Team Allocation History Table,HCM Data Mart,alvinying,aghorai,FEATURE_REQUEST,VERIFIED,P1,2019-08-12,8
136565379,[Team allocations] Make it clear that Open HC data access follows Pez access,HCM Dashboards,cviswanathan,alvinying,FEATURE_REQUEST,VERIFIED,P3,2019-07-02,77
117107183,[HCM Report] Update Scripts to use PEZ Prod Data,HCM Dashboards,epahal,epahal,FEATURE_REQUEST,FIXED,P2,2018-10-01,0
132102935,[HCM Teams Report] remove FTE and TVC count from HCM Teams Dashboard,HCM Dashboards,alvinying,cviswanathan,INTERNAL_CLEANUP,VERIFIER_ASSIGNED,P3,2019-05-06,32
136652139,Data Mart - Testing plan playbook,HCM Data Mart,sameerpatel,zeljebbari,PROCESS,VERIFIED,P2,2019-07-03,156
133228234,Move Plx tables to Placer,HCM Data Mart,aghorai,sunilsaxena,FEATURE_REQUEST,ACCEPTED,P2,2019-05-21,209
140433313,[Data Mart]  Sync uat and prod CL with latest CL across all jobs for HCM Reporting project,HCM Data Mart,hongyil,hongyil,INTERNAL_CLEANUP,FIXED,P2,2019-09-03,1
120770871,[HCM Report] Reviewing Manager link missing username parameter,HCM Dashboards,alvinying,alvinying,BUG,VERIFIED,P2,2018-12-10,1
134698005,[HCM Teams Report] Slow performance of dashboard,HCM Dashboards,cviswanathan,cviswanathan,BUG,VERIFIED,P2,2019-06-06,42
115686618,[HCM Report] Remaining Hires/Requested Hires in Summary section of report and SUM of individual values in SR Detail sections do not match,HCM Dashboards,chavisinghal,apisarchyk,BUG,VERIFIED,P1,2018-09-13,1
134094441,Transformation rules Pez transaction data --> modeling next sprint,HCM Data Mart,sameerpatel,zeljebbari,PROCESS,ASSIGNED,P3,2019-05-30,15
147429083,[Data Mart] Discuss whether we should always version every source,HCM Data Mart,,cacanindin,INTERNAL_CLEANUP,NEW,P3,2020-01-09,0
146999827,[Retrofit dashboard] Review Data Model with team and update based on feedback,HCM Data Mart,hongyil,zeljebbari,FEATURE_REQUEST,VERIFIED,P2,2019-12-30,0
139187346,[Data Mart] Clean duplicate jobs/pipelines in HCM dev and Corp data store DEV relative to HCM,HCM Data Mart,hongyil,hongyil,INTERNAL_CLEANUP,FIXED,P2,2019-08-09,6
134092728,Moma Verification Status Dashboard - Add a team filter,HCM Dashboards,hkondreddy,zeljebbari,FEATURE_REQUEST,ASSIGNED,P3,2019-05-30,132
140027285,Team Allocation and Planning dashboard - Change bullet character between team level,HCM Dashboards,cviswanathan,zeljebbari,FEATURE_REQUEST,VERIFIED,P3,2019-08-26,3
134083576,Review Pez Loans and grants design,HCM Data Mart,mstockwell,zeljebbari,FEATURE_REQUEST,FIXED,P2,2019-05-30,13
147094371,[Data Mart] headcount_transaction_impact_history DataSourceKey missing loan_id,HCM Data Mart,pmallireddy,nidhishk,INTERNAL_CLEANUP,ASSIGNED,P4,2020-01-02,0
144923394,SR discrepancy in negatives report (tab3),HCM Dashboards,orazs,orazs,BUG,FIXED,P1,2019-11-21,11
139801785,Loans UX study (optional),HCM Data Mart,zeljebbari,zeljebbari,FEATURE_REQUEST,WILL_NOT_FIX,P2,2019-08-21,69
147138088,[Grants and location locking] - Add grant create date field all the way to Plx view,HCM Data Mart,pmallireddy,zeljebbari,FEATURE_REQUEST,FIXED,P2,2020-01-03,14
132169797,Grants and loans,HCM Data Mart,zeljebbari,zeljebbari,FEATURE_REQUEST,ACCEPTED,P1,2019-05-07,213
134484792,[Teams Allocations report] Add KPI for Headcount w/o Team assignment,HCM Dashboards,,alvinying,FEATURE_REQUEST,NEW,P2,2019-06-04,127
146637341,PezCloudSQLtoBQ - headcount_slot_total job failed,HCM Data Mart,,chirumamillam,BUG,WILL_NOT_FIX,P2,2019-12-20,0
134481351,[HCM Report] headcount_reporting.finance_cc_ids returning error when queried - failing HCM dashboard workflow,HCM Dashboards,orazs,alvinying,BUG,FIXED,P2,2019-06-04,101
139360339,[HCM Report] Issue summary  :  teams access request for temp pfowler@,HCM Dashboards,alvinying,ashk,PROCESS,FIXED,P3,2019-08-13,0
117099773,[HCM Report] PEZ Cloud SQL for manager and Negative detailed data instead of aggregated snapshot,HCM Dashboards,chavisinghal,chavisinghal,FEATURE_REQUEST,WILL_NOT_FIX,P2,2018-10-01,232
147371872,[Data Mart] Implement Data Quality Checks on PLX Tables,HCM Data Mart,mstockwell,aghorai,FEATURE_REQUEST,ACCEPTED,P2,2020-01-08,19
132169798,Engage partners - TG,HCM Data Mart,zeljebbari,zeljebbari,PROCESS,FIXED,P1,2019-05-07,212
133783893,Automated deployment using Rapid,HCM Data Mart,sunilsaxena,zeljebbari,PROCESS,ASSIGNED,P3,2019-05-28,0
135191046,[Data Mart] Mdb group for release management and Clarinet viewer,HCM Data Mart,sunilsaxena,sunilsaxena,PROCESS,ASSIGNED,P3,2019-06-13,0
135264284,Define logic for backfill Person dimensional attributes history from Workday,HCM Data Mart,mraizada,sameerpatel,PROCESS,ASSIGNED,P2,2019-06-14,209
122448685,[HCM Report] Review teamsdash and propose potential migration plan,HCM Dashboards,,alvinying,PROCESS,NEW,P4,2019-01-07,143
113125555,[Data Mart] Add job level to tables,HCM Data Mart,,apisarchyk,FEATURE_REQUEST,WILL_NOT_FIX,P2,2018-08-23,18
134484496,[HCM Report] Update go/hcm-report site to link directly to new teams allocation report,HCM Dashboards,alvinying,alvinying,PROCESS,VERIFIED,P1,2019-06-04,8
146641963,"ClarinetJobFailed: Pipeline ""PezCloudSQLtoBQ - headcount_slot_total"" failed to run.",HCM Production Bugs,zeljebbari,mdb.clarinet,BUG,VERIFIED,P1,2019-12-20,13
147842809,[Data Mart] the current headcount summary numbers got a sudden drop on 2019-07-26 (25),HCM Data Mart,pmallireddy,hongyil,BUG,ASSIGNED,P2,2020-01-17,11
135695730,"[HCM Team Allocations Report] Easily export the expanded list w/out having to click ""+"" for each row",HCM Dashboards,alvinying,zeljebbari,FEATURE_REQUEST,ASSIGNED,P2,2019-06-20,0
146644016,[HCM Report] Loans Dashboard - Given Summary - Outstanding balance calc,HCM Dashboards,cviswanathan,mstockwell,BUG,VERIFIED,P1,2019-12-20,3
